cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 19100 15.0500 14.7190 72.5430 39.5430 0.9742 0.8799
1 0 19200 14.6930 14.4120 72.7940 39.7940 0.7829 0.6939
1 0 19300 15.2840 15.0100 73.0240 40.0240 0.7753 0.6581
1 0 19400 14.9040 14.6390 73.1860 40.1860 0.8149 0.7083
1 0 19500 15.2770 15.0020 73.2720 40.2720 0.7152 0.6282
1 0 19600 14.8480 14.5630 73.5620 40.5620 0.8202 0.7233
1 0 19700 15.0880 14.8050 73.7290 40.7290 0.8053 0.7373
1 0 19800 14.8170 14.5380 74.0070 41.0070 0.6873 0.6343
1 0 19900 14.8500 14.6100 74.1320 41.1320 0.6823 0.6287
1 0 20000 14.9400 14.6980 74.1990 41.1990 0.5111 0.4655
1 0 20100 14.8410 14.6030 74.4000 41.4000 0.6230 0.5555
1 0 20200 14.8190 14.4960 74.5760 41.5760 0.6793 0.5967
1 0 20300 14.4640 14.1790 74.8930 41.8930 0.6749 0.6070
1 0 20400 14.6000 14.2920 75.0160 42.0160 0.6038 0.5455
1 0 20500 14.9130 14.6050 75.1860 42.1860 0.6323 0.5573
1 0 20600 14.8300 14.5500 75.3460 42.3460 0.6425 0.5363
1 0 20700 15.0070 14.7100 75.5760 42.5760 0.5089 0.4693
1 0 20800 15.0700 14.6760 75.8540 42.8540 0.4715 0.4087
1 0 20900 15.2020 14.7810 75.9370 42.9370 0.4443 0.3641
1 0 21000 15.1240 14.6810 76.2550 43.2550 0.3842 0.2999
1 0 21100 15.2480 14.7530 76.5060 43.5060 0.4163 0.3271
1 0 21200 15.1030 14.5530 76.8030 43.8030 0.4229 0.3406
1 0 21300 15.2410 14.7580 76.8580 43.8580 0.4207 0.4113
1 0 21400 14.3440 13.9690 77.2790 44.2790 0.5151 0.4902
1 0 21500 14.7540 14.3590 77.4240 44.4240 0.6211 0.5915
1 0 21600 14.6090 14.2450 77.5130 44.5130 0.5958 0.5269
1 0 21700 14.7170 14.2900 77.8430 44.8430 0.7067 0.5970
1 0 21800 14.7950 14.3730 77.9680 44.9680 0.6687 0.5475
1 0 21900 15.0480 14.6360 78.2030 45.2030 0.5985 0.5660
1 0 22000 15.1700 14.7710 78.4360 45.4360 0.7171 0.6610
1 0 22100 15.0240 14.5740 78.6060 45.6060 0.7694 0.6645
1 0 22200 14.8250 14.3170 78.8130 45.8130 0.9427 0.8229
1 0 22300 15.2500 14.7750 79.0050 46.0050 0.8811 0.7755
1 0 22400 14.7680 14.3040 79.2210 46.2210 0.9236 0.8152
1 0 22500 15.0800 14.5690 79.2670 46.2670 0.7688 0.6529
1 0 22600 14.8340 14.3980 79.4390 46.4390 0.7801 0.6982
1 0 22700 14.8520 14.4080 79.5790 46.5790 0.7980 0.7190
1 0 22800 15.1470 14.7120 79.8250 46.8250 0.8077 0.7271
1 0 22900 15.1860 14.8450 79.7950 46.7950 0.8743 0.7721
1 0 23000 14.7070 14.3670 80.0640 47.0640 0.9478 0.8160
1 0 23100 15.3700 14.9930 80.2620 47.2620 0.8156 0.6735
1 0 23200 15.0380 14.6960 80.5560 47.5560 0.7700 0.6672
1 0 23300 15.4490 15.1660 80.7510 47.7510 0.7052 0.6199
1 0 23400 15.3710 15.1110 80.9250 47.9250 0.7586 0.6454
1 0 23500 15.1260 14.7800 81.0900 48.0900 0.8662 0.7859
1 0 23600 14.9520 14.5870 81.3640 48.3640 0.7541 0.6824
1 0 23700 14.9680 14.5080 81.5130 48.5130 0.7733 0.6926
1 0 23800 15.3760 15.0190 81.6020 48.6020 0.6095 0.5757
1 0 23900 15.5130 15.1010 81.8290 48.8290 0.7592 0.7119
1 0 24000 15.2360 14.7550 82.0230 49.0230 0.6134 0.5781
1 0 24100 15.1500 14.6920 82.3450 49.3450 0.4877 0.4722
1 0 24200 14.9260 14.5760 82.4650 49.4650 0.4820 0.4552
1 0 24300 14.9040 14.5880 82.7510 49.7510 0.5405 0.5046
1 0 24400 14.9160 14.5860 82.8690 49.8690 0.5042 0.4679
1 0 24500 14.8710 14.4560 83.0340 50.0340 0.4975 0.4421
