cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 1 6200 8.7750 4.0040 6093.3530 67.3530 57.9007 0.4123
1 1 6300 8.2140 3.8770 6094.6650 68.6650 54.3634 0.6755
1 1 6400 8.2240 4.0980 6095.7852 69.7852 48.7336 0.5427
1 1 6500 8.2350 4.0930 6096.8311 70.8311 50.5049 1.0288
1 1 6600 8.2570 4.0990 6097.8291 71.8291 47.5933 0.4977
1 1 6700 8.8170 4.1790 6098.9170 72.9170 52.2585 0.7540
1 1 6800 8.7370 4.0290 6099.9819 73.9819 54.2048 0.5495
1 1 6900 8.2980 4.2130 6101.0259 75.0259 49.9320 1.0005
1 1 7000 8.2510 4.1730 6102.0098 76.0098 49.7055 0.4349
1 1 7100 8.2710 3.8570 6103.1118 77.1118 54.9290 0.5144
1 1 7200 8.5570 4.0980 6104.2642 78.2642 51.5286 0.3829
1 1 7300 8.2890 3.8550 6105.4678 79.4678 54.1875 0.3279
1 1 7400 8.2820 3.9630 6106.4648 80.4648 50.6665 0.4105
1 1 7500 8.4250 3.9730 6107.8730 81.8730 52.9433 0.5429
1 1 7600 8.5150 4.1320 6109.2402 83.2402 50.4214 0.4562
1 1 7700 8.4800 4.1810 6110.5562 84.5562 48.8552 0.6085
1 1 7800 8.4160 3.8830 6111.7192 85.7192 55.0545 0.6487
1 1 7900 8.3540 4.0340 6112.7651 86.7651 51.5667 0.5010
1 1 8000 8.4690 3.9520 6113.7578 87.7578 51.8385 0.6503
1 1 8100 8.2380 3.8580 6114.9268 88.9268 50.8099 0.6467
1 1 8200 8.1960 3.6850 6115.9980 89.9980 53.3551 0.7688
1 1 8300 8.5530 3.9540 6117.0718 91.0718 54.0958 0.6510
1 1 8400 8.5120 4.0440 6118.2310 92.2310 51.1801 0.6303
1 1 8500 8.6200 4.0060 6119.2871 93.2871 53.9193 0.6712
1 1 8600 8.5170 3.9350 6120.3110 94.3110 51.4944 0.5532
1 1 8700 8.7430 4.0240 6121.2939 95.2939 49.9064 0.3260
1 1 8800 8.1410 3.8600 6122.3931 96.3931 50.7444 0.4570
1 1 8900 8.4720 3.9410 6123.3760 97.3760 50.9114 0.3832
1 1 9000 8.6620 3.8850 6124.6182 98.6182 54.8043 0.3179
1 1 9100 8.7830 3.9510 6125.6479 99.6479 54.7891 0.5080
1 1 9200 8.4900 3.8990 6126.7148 100.7148 52.9511 0.5112
1 2 100 4.7840 3.4740 6026.9312 0.9312 27.9057 0.3258
1 2 200 8.7230 4.3810 6027.9360 1.9360 38.2992 0.1271
1 2 300 8.3410 3.5840 6029.0610 3.0610 49.5624 0.1624
1 2 400 8.3440 3.7070 6030.0508 4.0508 50.8335 0.4192
1 2 500 8.2080 3.6420 6031.1040 5.1040 51.5593 0.4651
1 2 600 8.2910 3.6090 6032.1860 6.1860 49.6731 0.2685
1 2 700 8.3690 3.3800 6033.2720 7.2720 53.9957 0.2053
1 2 800 8.2710 3.7370 6034.3501 8.3501 51.7055 0.2542
1 2 900 8.5020 3.9710 6035.5098 9.5098 48.6157 0.2815
1 2 1000 8.3270 3.6080 6036.4341 10.4341 52.1547 0.5646
1 2 1100 8.0370 3.4830 6037.5469 11.5469 51.2577 0.5886
1 2 1200 8.5850 3.7220 6038.6270 12.6270 51.8919 0.3493
1 2 1300 8.3600 3.6340 6039.7378 13.7378 53.4127 0.4637
1 2 1400 8.5270 3.6360 6040.8828 14.8828 53.9106 0.4043
1 2 1500 8.7210 3.5280 6042.0420 16.0420 56.5390 0.2840
1 2 1600 8.3820 3.5630 6043.2930 17.2930 55.6477 0.2374
1 2 1700 8.5750 3.6150 6044.2471 18.2471 54.5997 0.1981
1 2 1800 8.7300 3.8170 6045.3550 19.3550 51.8391 0.3762
1 2 1900 8.7360 3.6380 6046.4658 20.4658 51.3985 0.3332
1 2 2000 8.5290 3.3620 6047.6582 21.6582 57.9959 0.3459
1 2 2100 8.5000 3.6340 6048.5840 22.5840 55.2566 0.1626
1 2 2200 8.6700 3.7030 6049.4521 23.4521 53.8300 0.6200
1 2 2300 8.6360 3.9260 6050.5928 24.5928 52.0593 0.2050
1 2 2400 8.6130 3.5940 6051.5439 25.5439 55.7647 0.3344
1 2 2500 9.0450 3.8050 6052.4580 26.4580 54.2649 0.2192
1 2 2600 9.0870 3.6090 6053.5200 27.5200 56.7145 0.1931
1 2 2700 8.8850 3.6820 6054.7510 28.7510 54.4416 0.2996
1 2 2800 8.6460 3.5940 6055.8940 29.8940 56.1376 0.5142
1 2 2900 8.6090 3.5450 6057.0229 31.0229 55.3412 0.5066
