"","strategy_rep","timepoint","mc_or_uni","rev_mut_ID","avg_workload","workload_sd","avg_growth_rate","growth_rate_sd","rel_fitness","num_iterations_F1","num_iterations_F2","proportion_fertile","label"
"5593",3447,"transition","uni","96_5",118.222222222222,170.85894730512,0.00245681702407659,0.000272448610293613,0.808622824591166,54,54,1,"DW.30"
"5594",3447,"transition","uni","96_28",113.181818181818,168.32454222469,0.00252293694522927,0.000275325187020403,0.830385160524311,55,55,1,"DW.30"
"5595",3447,"transition","uni","96_32",128.238805970149,244.779002958713,0.00259754317161384,0.000250415210227972,0.854940630842196,67,67,1,"DW.30"
"5596",3447,"transition","uni","96_35",174.48,301.867469230442,0.00262356904526936,0.000248442999311183,0.863506639324526,50,50,1,"DW.30"
"5597",3447,"transition","uni","97_23",4.22222222222222,1.95326162131405,1.38629436111989e-05,0,0.00456277065413491,100,90,0.9,"DW.30"
"5598",3447,"transition","uni","98_1",111,46.8323897241293,1.38629436111989e-05,0,0.00456277065413491,87,12,0.137931034482759,"DW.30"
"5599",3447,"final","mc","0",3974.8,1004.64374307764,0.00377276497185274,0.000556210117258642,1,NA,NA,NA,"DW.30"
"5600",3447,"final","uni","6_32",161.416666666667,199.992821198846,0.00255210000198313,0.000243722291551726,0.676453482001515,60,60,1,"DW.30"
"5601",3447,"final","uni","7_32",175.666666666667,242.897658957991,0.0025152308512105,0.000267591891732145,0.666681033665162,45,45,1,"DW.30"
"5602",3447,"final","uni","8_32",158.653846153846,207.265566563663,0.00251910206648032,0.000265537928476615,0.667707128664109,52,52,1,"DW.30"
"5603",3447,"final","uni","9_5",217.647058823529,271.039615077163,0.00241467910070421,0.000307459730279675,0.640029028767833,51,51,1,"DW.30"
"5604",3447,"final","uni","9_21",132.787878787879,114.542229542142,0.00246241199454839,0.000239174326223719,0.652680994686808,33,33,1,"DW.30"
"5605",3447,"final","uni","9_28",177.078431372549,166.006125566168,0.00252496927344598,0.000356123268599145,0.669262276416336,51,51,1,"DW.30"
"5606",3447,"final","uni","9_30",159.851063829787,277.78236544675,0.00246804841632914,0.000240241841146735,0.65417497107357,47,47,1,"DW.30"
"5607",3447,"final","uni","9_32",211.537037037037,323.688804252792,0.00252639615319386,0.000251148995805294,0.669640481726905,54,54,1,"DW.30"
"5608",3447,"final","uni","9_35",205.161290322581,313.516198068956,0.00248315601740987,0.000230668900576737,0.658179355442446,31,31,1,"DW.30"
"5609",3447,"final","uni","10_0",272.448275862069,401.817370246811,0.00244818938286893,0.000310964749702655,0.648911183477902,58,58,1,"DW.30"
"5610",3447,"final","uni","10_2",188.191176470588,280.518350550566,0.00248980904283441,0.000265999814512456,0.659942790343421,68,68,1,"DW.30"
"5611",3447,"final","uni","10_3",172,226.227001593532,0.00247954943222657,0.000286992048846445,0.6572234026571,65,65,1,"DW.30"
"5612",3447,"final","uni","10_5",165.191780821918,318.844034388038,0.00256132220892099,0.000248504576344416,0.678897897968758,73,73,1,"DW.30"
"5613",3447,"final","uni","10_7",194.31884057971,290.666095715747,0.00242768570726086,0.000300941252567389,0.643476528586583,69,69,1,"DW.30"
"5614",3447,"final","uni","10_8",154.923076923077,253.24687237039,0.00251445014531755,0.000266584944026351,0.666474101640832,65,65,1,"DW.30"
"5615",3447,"final","uni","10_9",146.8,217.24804497044,0.00240481656606664,0.000297521302591124,0.637414889082178,70,70,1,"DW.30"
"5616",3447,"final","uni","10_10",162.171428571429,225.548154916717,0.00246690498064299,0.000301852187254097,0.653871894763573,70,70,1,"DW.30"
"5617",3447,"final","uni","10_11",243.75,423.369228607067,0.00248744366906128,0.000330535081293778,0.659315830066071,68,68,1,"DW.30"
"5618",3447,"final","uni","10_12",185.611111111111,269.574445833865,0.00247618576601646,0.00026973938895669,0.656331837389925,72,72,1,"DW.30"
"5619",3447,"final","uni","10_13",174.4375,276.245053105172,0.00246483155424555,0.000300935466151555,0.65332231735472,64,64,1,"DW.30"
"5620",3447,"final","uni","10_14",176.890625,261.8468665041,0.002453105716582,0.000326454327790157,0.650214295055153,64,64,1,"DW.30"
"5621",3447,"final","uni","10_15",164.805970149254,245.283091784437,0.00247735767590012,0.000322875507953995,0.656642461002158,67,67,1,"DW.30"
"5622",3447,"final","uni","10_16",196.081967213115,318.988416460638,0.00245161517547977,0.000328731193826164,0.649819215819275,61,61,1,"DW.30"
"5623",3447,"final","uni","10_17",131.169230769231,192.779469961045,0.00246531398242562,0.000271075389742294,0.65345018860662,65,65,1,"DW.30"
"5624",3447,"final","uni","10_18",146.924242424242,220.070150396575,0.00249417518375837,0.000263181450901919,0.661100069144653,66,66,1,"DW.30"
"5625",3447,"final","uni","10_19",168.338461538462,242.870353591883,0.00247706734684752,0.000288266178949514,0.656565507082481,65,65,1,"DW.30"
"5626",3447,"final","uni","10_20",151.520547945205,259.065795460291,0.00252053803881375,0.000292931837096317,0.668087744033512,73,73,1,"DW.30"
"5627",3447,"final","uni","10_21",204.291666666667,352.091754906643,0.00245504417832429,0.000289086384454601,0.650728099057457,72,72,1,"DW.30"
"5628",3447,"final","uni","10_22",119.313432835821,201.236120090172,0.00242747667232923,0.00031025848101019,0.643421122290886,67,67,1,"DW.30"
"5629",3447,"final","uni","10_25",201.677966101695,336.8687169168,0.00248929518708165,0.000298646890298303,0.659806588974769,59,59,1,"DW.30"
"5630",3447,"final","uni","10_26",139.91935483871,176.276915013822,0.00243133841059762,0.000295644178733236,0.644444705338649,62,62,1,"DW.30"
"5631",3447,"final","uni","10_27",141.857142857143,156.51134733085,0.002501357650429,0.000277334868943997,0.663003836467616,63,63,1,"DW.30"
"5632",3447,"final","uni","10_28",175.161290322581,248.769047778726,0.00245967084353195,0.000298630834619529,0.651954431798081,62,62,1,"DW.30"
"5633",3447,"final","uni","10_29",128.737704918033,153.647746663089,0.00250008532170772,0.000291757906452577,0.662666596080056,61,61,1,"DW.30"
"5634",3447,"final","uni","10_30",105.791044776119,159.45499387007,0.00250243077617769,0.000295323405720192,0.663288276594867,67,67,1,"DW.30"
"5635",3447,"final","uni","10_31",179.409090909091,348.779629665968,0.0024514808265857,0.000298219213463038,0.649783605624874,66,66,1,"DW.30"
"5636",3447,"final","uni","10_32",143.3,190.691453684937,0.00250515774274638,0.000320508966278121,0.664011079788028,60,60,1,"DW.30"
"5637",3447,"final","uni","10_34",154.590163934426,200.935841920515,0.0025545819699765,0.000256933382042585,0.677111346462166,61,61,1,"DW.30"
"5638",3447,"final","uni","10_35",153.854838709677,197.166555769248,0.00250052147614295,0.000319844578269311,0.662782202124556,62,62,1,"DW.30"
"5639",3447,"final","uni","10_36",247.015873015873,357.796278856193,0.0024865860877601,0.00033940488408787,0.659088521631122,63,63,1,"DW.30"
"5640",3447,"final","uni","10_37",201.173913043478,306.784459520981,0.00247517474259617,0.000261295603331833,0.656063857956319,69,69,1,"DW.30"
"5641",3447,"final","uni","55_10",0,0,1.38629436111989e-05,0,0.00367447845668241,100,100,1,"DW.30"
"5642",3447,"final","uni","62_23",377,256.078113082708,1.38629436111989e-05,0,0.00367447845668241,88,5,0.0568181818181818,"DW.30"
"5643",3447,"final","uni","90_30",79.5357142857143,102.685958556446,0.00192141567347846,0.000274459057978292,0.509285812345444,28,28,1,"DW.30"
"5644",3447,"final","uni","92_23",203.2,114.141140698698,1.38629436111989e-05,0,0.00367447845668241,91,5,0.0549450549450549,"DW.30"
"5645",3447,"final","uni","94_21",172,205.060966544099,1.38629436111989e-05,0,0.00367447845668241,97,2,0.0206185567010309,"DW.30"
